id,age,length,nviews,rating,nratings,ncomments,,
IoHxJX92FEg,1132,217,1157,3.6,5,3,,
P7GBN4FiNDg,1031,426,667,4,4,4,,
GAP-8FZw3uw,1131,237,1063,0,0,1,,
O3Xp3-RYSu8,1130,294,274,1,1,2,,
gujUKcGpQEo,1072,109,48,5,2,1,,
7p9B-bm3sgY,1131,263,62,5,4,5,,
rNAiPyCwfOA,956,34,3437,4.7,20,1,,
fA6locgKFN0,1094,50,385,2.71,7,9,,
2soQkqwr4dU,1125,251,91,5,1,1,,
MdYXzSo0GZ4,1100,145,209,5,1,0,,
DJDy1_6ewUY,1130,150,21,0,0,0,,
RjkPLSw_8sQ,1151,19,189,5,1,0,,
UPIKFiJuiG0,1131,14,91,0,0,0,,
BOg-nMiqd8I,606,284,1146,4.5,2,1,,
ZvKzipJ4-cA,1239,210,8483,4.85,13,7,,
VvxFy25gPnQ,1236,134,3524,4.95,57,39,,
7lnOPtpq1tY,1237,181,498,5,2,0,,
m5E1jZHibWk,1236,460,2514,4.55,11,5,,
sgcjkrZXLrw,1237,196,1606,4.94,32,20,,
UBgkkaUSnsU,1217,136,11838,4.85,27,32,,
9zTOgsNgizg,1215,31,6586,4.73,15,8,,
yuP-JRxhUOg,1236,397,1893,4.95,22,6,,
zdrm6xOAE7c,1219,50,6966,4,6,7,,
93BfFD85nW8,1235,261,726,5,1,13,,
6BjqT5KTbFQ,1237,445,528,5,11,8,,
OIhV2IjABGI,1237,200,524,5,2,3,,
9tH_DmK2lBk,1236,184,504,5,5,2,,
nEeX_fMoJWY,1240,271,8820,3.98,61,110,,
ytZ-RYW2l_c,1235,217,2505,3.83,12,23,,
sT5OpOukBEo,1244,50,1237,4.33,52,60,,
xyPLxb4on8M,1235,110,1324,4.95,20,22,,
XJ14FjKd9GU,1189,227,528,4.2,5,5,,
AB5qxtnpVWY,1247,80,1018,4,30,26,,
UIWVvMNK1EQ,1233,69,1499,4.48,56,47,,
6jhpLrh03pI,1237,205,279,4,4,4,,
ncozOcmzNtI,1043,193,428,0,0,1,,
kiMfsEqli1Q,1237,192,2364,4.98,44,33,,
285T1FTyPok,1237,214,281,5,6,4,,
hnorxKaU8tk,1236,53,211,5,1,1,,
BKHVXL61l58,1237,278,2079,4.98,41,29,,
1I5x4UWK7hE,1236,134,9919,5,65,45,,
0ojp7AsdEbw,1237,190,1532,4.47,17,32,,
Kax-puebiLU,1237,68,400,5,9,3,,
2X1WRMXg9hs,1236,176,222,5,9,2,,
x2fxsOuVlsc,1236,139,282,5,2,0,,
GrXOGJ6FEmc,1237,275,466,3,4,4,,
r7ykqcV3kq4,1236,195,1966,4.77,13,20,,
LANTxOBrM7k,1219,283,4488,4.9,48,47,,
bwRv23TrPWs,1236,16,852,5,6,4,,
H1cCopSSHtI,1237,29,484,5,3,0,,
F1daLOuIm4E,1237,192,425,5,5,1,,
xWr5RBVv2q4,1252,178,199,1,4,3,,
WCq59w6pW5k,1253,163,394,1,8,6,,
aih37-V6W4M,1252,297,306,5,2,1,,
pzkrjMUt0EM,1212,262,125,0,0,0,,
B0Q7VrGJI8E,710,229,42603,4.59,59,20,,
3uLeLvr6TPI,1222,238,527,5,3,2,,
ux4sGNkzMF8,1236,476,416,0,0,2,,
lobblzKvAG8,1215,243,463,5,2,3,,
Gov4qpyxsD4,1236,87,55,5,2,1,,
MiMeSahmrgM,1236,180,291,5,85,31,,
ZgSAvjg3J-w,382,205,14774,4.87,76,24,,
eVEEch4lgDM,1236,220,357,4,4,1,,
ujvKiT0r_s0,1237,234,405,5,3,1,,
KDdGTsXNHJM,1236,238,622,3,4,8,,
IrtaNK-WjvM,1236,230,1855,5,4,2,,
pqd_2wC_vLo,1227,243,1455,5,3,2,,
Q1H115y7GwY,1248,247,70,0,0,0,,
Xz2hxpmd9p0,1053,113,271,3.4,5,1,,
R5P1_U7LZX8,1016,218,9346,4.23,60,70,,
dgW0XpAVC20,1052,79,639,3.17,6,5,,
Z0z_GmXwdHA,1018,153,3727,3.81,27,15,,
T6WcMSv4lRg,1023,52,607,4.31,16,13,,
ilZz4dIP0_8,1017,90,6639,4.58,43,25,,
ccI0RRgJ5ws,910,59,760,4,8,9,,
-0sdIU5uXh4,1043,75,4442,4.32,37,27,,
3WeVBWAvMjQ,1019,204,2378,4.41,22,18,,
VKDi8sTKAp0,1076,59,1804,3.73,15,16,,
0YTz5GJ4MVs,932,92,3391,3.37,30,12,,
1htMhBxdJzk,975,114,99,2.33,3,0,,
_rJJaoCwv2A,1187,228,328,3.75,4,9,,
7BVwbXJ_nRw,1210,232,104,1,1,2,,
QNFbw30bSVU,1190,183,669,4.33,15,55,,
pxi0uTmKTbc,1229,451,11620,4.88,357,409,,
3JZGdCHQCoc,1254,40,707,5,16,15,,
zoKL0RfFIVM,1236,236,434,0,0,5,,
TzQxsXEfsZc,1236,139,569,5,5,0,,
k5t9knirgGk,1236,608,1715,5,22,10,,
g-4QjD3mHyM,1237,355,897,5,11,3,,
AyUhTQk-Oto,1027,190,6451,4.83,24,13,,
lrA9Yd8mNRo,1235,16,10311,5,27,22,,
#NAME?,1234,208,2097,5,27,25,,
iZZD6iuLRjU,1229,181,12420,4.86,28,51,,
Ss1WepSMMrs,1236,73,106,0,0,3,,
yItMfvRq8EQ,1236,50,2024,4.86,43,15,,
octfxIGck7A,1238,162,2860,4.38,42,38,,
4ivLD_88ZEk,1247,104,869,4.4,15,7,,
JvhMyzA6NNA,1238,41,2921,4.65,23,17,,
lDkZiqBptkw,1235,50,1311,4.37,27,20,,
77VT_ke16XU,1252,137,4222,3.88,77,92,,
uIi69lMizX0,1248,70,336,4.75,20,29,,
55psTAA3wTg,1168,60,2338,4.75,20,16,,
YeoDpZB-w6k,1232,75,62549,4.82,226,192,,
9so-s6r4iPU,1251,147,218,3.92,13,24,,
YEuSpheCWbc,1077,313,2430,3.28,130,157,,
PLICi3JovfU,1124,94,6638,3.32,307,268,,
APKzrhAsShM,1238,202,486,3.89,37,44,,
5MCjlQi7O0M,1163,176,801,5,3,4,,
KeMy_8bnd7U,821,45,978,4,4,3,,
5O9ZCtc-Jno,1257,53,464,3.39,36,19,,
IHsPkXyLau8,1257,182,88,5,7,4,,
J7hSTRrGDnw,1257,182,82,3.5,6,7,,
3ilvjpq6GL4,1257,364,32,0,0,0,,
fTDbpBT74ns,1256,270,444,3.5,10,1,,
LelTXbuni0Q,1257,267,830,1.33,12,4,,
5IkdyjPwcrs,1258,49,13,0,0,0,,
Jv1nEir3ONg,1223,140,805,2,8,4,,
56CgFae3WD0,1173,242,853,4.33,6,10,,
CDSKha4ZUek,1187,122,6352,2.84,62,92,,
Y9we2JSwa64,1251,150,261,5,2,3,,
bwiHzs3kyyQ,875,77,1918,1.7,20,10,,
FRykdr0lERg,1161,170,303,1,3,1,,
Ofj6P4QEoFg,1252,77,27,5,3,4,,
NBrilxY_KCI,760,97,2209,5,3,1,,
8WmyudUAU7U,0,162,32469,3.75,12,2,,
zRxa_Lep_8Q,997,96,1029,1,1,2,,
nOEYolWXqlQ,1022,200,403,4.5,2,2,,
